Date,Adj_Close
6/16/2015,17904.48
6/15/2015,17791.17
6/12/2015,17898.84
6/11/2015,18039.37
6/10/2015,18000.4
6/9/2015,17764.04
6/8/2015,17766.55
6/5/2015,17849.46
6/4/2015,17905.58
6/3/2015,18076.27
6/2/2015,18011.94
6/1/2015,18040.37
5/29/2015,18010.68
5/28/2015,18126.12
5/27/2015,18162.99
5/26/2015,18041.54
5/22/2015,18232.02
5/21/2015,18285.74
5/20/2015,18285.4
5/19/2015,18312.39
5/18/2015,18298.88
5/15/2015,18272.56
5/14/2015,18252.24
5/13/2015,18060.49
5/12/2015,18068.23
5/11/2015,18105.17
5/8/2015,18191.11
5/7/2015,17924.06
5/6/2015,17841.98
5/5/2015,17928.2
5/4/2015,18070.4
5/1/2015,18024.06
4/30/2015,17840.52
4/29/2015,18035.53
4/28/2015,18110.14
4/27/2015,18037.97
4/24/2015,18080.14
4/23/2015,18058.69
4/22/2015,18038.27
4/21/2015,17949.59
4/20/2015,18034.93
4/17/2015,17826.3
4/16/2015,18105.77
4/15/2015,18112.61
4/14/2015,18036.7
4/13/2015,17977.04
4/10/2015,18057.65
4/9/2015,17958.73
4/8/2015,17902.51
4/7/2015,17875.42
4/6/2015,17880.85
4/2/2015,17763.24
4/1/2015,17698.18
3/31/2015,17776.12
3/30/2015,17976.31
3/27/2015,17712.66
3/26/2015,17678.23
3/25/2015,17718.54
3/24/2015,18011.14
3/23/2015,18116.04
3/20/2015,18127.65
3/19/2015,17959.03
3/18/2015,18076.19
3/17/2015,17849.08
3/16/2015,17977.42
3/13/2015,17749.31
3/12/2015,17895.22
3/11/2015,17635.39
3/10/2015,17662.94
3/9/2015,17995.72
3/6/2015,17856.78
3/5/2015,18135.72
3/4/2015,18096.9
3/3/2015,18203.37
3/2/2015,18288.63
2/27/2015,18132.7
2/26/2015,18214.42
2/25/2015,18224.57
2/24/2015,18209.19
2/23/2015,18116.84
2/20/2015,18140.44
2/19/2015,17985.77
2/18/2015,18029.85
2/17/2015,18047.58
2/13/2015,18019.35
2/12/2015,17972.38
2/11/2015,17862.14
2/10/2015,17868.76
2/9/2015,17729.21
2/6/2015,17824.29
2/5/2015,17884.88
2/4/2015,17673.02
2/3/2015,17666.4
2/2/2015,17361.04
1/30/2015,17164.95
1/29/2015,17416.85
1/28/2015,17191.37
1/27/2015,17387.21
1/26/2015,17678.7
1/23/2015,17672.6
1/22/2015,17813.98
1/21/2015,17554.28
1/20/2015,17515.23
1/16/2015,17511.57
1/15/2015,17320.71
1/14/2015,17427.09
1/13/2015,17613.68
1/12/2015,17640.84
1/9/2015,17737.37
1/8/2015,17907.87
1/7/2015,17584.52
1/6/2015,17371.64
1/5/2015,17501.65
1/2/2015,17832.99
