Date,Rate
27-May-03,1.64
28-May-03,1.635
29-May-03,1.6484
30-May-03,1.6393
2-Jun-03,1.6372
3-Jun-03,1.6278
4-Jun-03,1.6333
5-Jun-03,1.6597
6-Jun-03,1.6622
9-Jun-03,1.6452
10-Jun-03,1.6523
11-Jun-03,1.6675
12-Jun-03,1.6682
13-Jun-03,1.6676
16-Jun-03,1.6815
17-Jun-03,1.684
18-Jun-03,1.6798
19-Jun-03,1.674
20-Jun-03,1.6644
23-Jun-03,1.6682
24-Jun-03,1.6607
25-Jun-03,1.6787
26-Jun-03,1.664
27-Jun-03,1.6492
30-Jun-03,1.6529
1-Jul-03,1.6626
2-Jul-03,1.6646
3-Jul-03,1.6718
4-Jul-03,ND
7-Jul-03,1.6515
8-Jul-03,1.6326
9-Jul-03,1.6306
10-Jul-03,1.6326
11-Jul-03,1.6323
14-Jul-03,1.6238
15-Jul-03,1.5986
16-Jul-03,1.5952
17-Jul-03,1.5893
18-Jul-03,1.5867
21-Jul-03,1.601
22-Jul-03,1.5978
23-Jul-03,1.609
24-Jul-03,1.611
25-Jul-03,1.6198
28-Jul-03,1.6272
29-Jul-03,1.6225
30-Jul-03,1.6167
31-Jul-03,1.609
1-Aug-03,1.6045
4-Aug-03,1.608
5-Aug-03,1.6085
6-Aug-03,1.6081
7-Aug-03,1.617
8-Aug-03,1.608
11-Aug-03,1.6068
12-Aug-03,1.6028
13-Aug-03,1.6082
14-Aug-03,1.6
15-Aug-03,1.5958
18-Aug-03,1.5891
19-Aug-03,1.5872
20-Aug-03,1.5922
21-Aug-03,1.5845
22-Aug-03,1.5755
25-Aug-03,1.5728
26-Aug-03,1.5732
27-Aug-03,1.5746
28-Aug-03,1.577
29-Aug-03,1.5773
1-Sep-03,ND
2-Sep-03,1.574
3-Sep-03,1.5732
4-Sep-03,1.5785
5-Sep-03,1.5891
8-Sep-03,1.5858
9-Sep-03,1.5909
10-Sep-03,1.5897
11-Sep-03,1.5937
12-Sep-03,1.6062
15-Sep-03,1.6018
16-Sep-03,1.5871
17-Sep-03,1.6044
18-Sep-03,1.6155
19-Sep-03,1.6315
22-Sep-03,1.6472
23-Sep-03,1.656
24-Sep-03,1.6558
25-Sep-03,1.6587
26-Sep-03,1.6597
29-Sep-03,1.6642
30-Sep-03,1.662
1-Oct-03,1.6667
2-Oct-03,1.675
3-Oct-03,1.663
6-Oct-03,1.6742
7-Oct-03,1.6628
8-Oct-03,1.6598
9-Oct-03,1.6609
10-Oct-03,1.6654
13-Oct-03,ND
14-Oct-03,1.6737
15-Oct-03,1.6698
16-Oct-03,1.676
17-Oct-03,1.6721
20-Oct-03,1.6749
21-Oct-03,1.6746
22-Oct-03,1.6935
23-Oct-03,1.6943
24-Oct-03,1.6972
27-Oct-03,1.6952
28-Oct-03,1.6956
29-Oct-03,1.6988
30-Oct-03,1.7025
31-Oct-03,1.6956
3-Nov-03,1.6786
4-Nov-03,1.6802
5-Nov-03,1.678
6-Nov-03,1.6693
7-Nov-03,1.6708
10-Nov-03,1.6737
11-Nov-03,ND
12-Nov-03,1.677
13-Nov-03,1.688
14-Nov-03,1.6841
17-Nov-03,1.6885
18-Nov-03,1.6998
19-Nov-03,1.6982
20-Nov-03,1.7024
21-Nov-03,1.7025
24-Nov-03,1.695
25-Nov-03,1.6983
26-Nov-03,1.709
27-Nov-03,ND
28-Nov-03,1.7219
1-Dec-03,1.7209
2-Dec-03,1.7291
3-Dec-03,1.7248
4-Dec-03,1.72
5-Dec-03,1.727
8-Dec-03,1.7334
9-Dec-03,1.743
10-Dec-03,1.7446
11-Dec-03,1.7445
12-Dec-03,1.7466
15-Dec-03,1.745
16-Dec-03,1.751
17-Dec-03,1.7615
18-Dec-03,1.7673
19-Dec-03,1.7675
22-Dec-03,1.7635
23-Dec-03,1.765
24-Dec-03,1.7748
25-Dec-03,ND
26-Dec-03,1.7725
29-Dec-03,1.7705
30-Dec-03,1.7786
31-Dec-03,1.7842
1-Jan-04,ND
2-Jan-04,1.7902
5-Jan-04,1.8085
6-Jan-04,1.8245
7-Jan-04,1.8193
8-Jan-04,1.8338
9-Jan-04,1.8472
12-Jan-04,1.8511
13-Jan-04,1.8432
14-Jan-04,1.8409
15-Jan-04,1.8205
16-Jan-04,1.7996
19-Jan-04,ND
20-Jan-04,1.8187
21-Jan-04,1.8295
22-Jan-04,1.8446
23-Jan-04,1.8203
26-Jan-04,1.82
27-Jan-04,1.8277
28-Jan-04,1.837
29-Jan-04,1.8112
30-Jan-04,1.8215
2-Feb-04,1.8182
3-Feb-04,1.838
4-Feb-04,1.8335
5-Feb-04,1.8378
6-Feb-04,1.8459
9-Feb-04,1.858
10-Feb-04,1.8697
11-Feb-04,1.885
12-Feb-04,1.891
13-Feb-04,1.883
16-Feb-04,ND
17-Feb-04,1.9045
18-Feb-04,1.9023
19-Feb-04,1.8921
20-Feb-04,1.8668
23-Feb-04,1.8686
24-Feb-04,1.8901
25-Feb-04,1.8757
26-Feb-04,1.8609
27-Feb-04,1.8575
1-Mar-04,1.868
2-Mar-04,1.8386
3-Mar-04,1.8192
4-Mar-04,1.825
5-Mar-04,1.8428
8-Mar-04,1.8471
9-Mar-04,1.8395
10-Mar-04,1.8
11-Mar-04,1.8008
12-Mar-04,1.7943
15-Mar-04,1.7993
16-Mar-04,1.8105
17-Mar-04,1.8132
18-Mar-04,1.8363
19-Mar-04,1.827
22-Mar-04,1.8485
23-Mar-04,1.8502
24-Mar-04,1.8351
25-Mar-04,1.8099
26-Mar-04,1.8104
29-Mar-04,1.8163
30-Mar-04,1.8283
31-Mar-04,1.84
1-Apr-04,1.8564
2-Apr-04,1.8293
5-Apr-04,1.814
6-Apr-04,1.8374
7-Apr-04,1.841
8-Apr-04,1.8325
