date,oil_price,cpi_value
2011-09-01,85.59,226.597
2011-10-01,97.52,226.75
2011-11-01,104.38,227.169
2011-12-01,104.43,227.223
2012-01-01,104.81,227.86
2012-02-01,110.45,228.377
2012-03-01,106.21,228.894
2012-04-01,107.87,229.286
2012-05-01,93.39,228.722
2012-06-01,85.85,228.506
2012-07-01,92.65,228.475
2012-08-01,97.17,229.844
2012-09-01,93.87,230.987
2012-10-01,87.65,231.655
2012-11-01,90.45,231.278
2012-12-01,93.52,231.272
2013-01-01,100.58,231.641
2013-02-01,94.52,233.005
2013-03-01,98.13,232.313
2013-04-01,96.11,231.856
2013-05-01,95.01,231.895
2013-06-01,97.61,232.357
2013-07-01,106.47,232.749
2013-08-01,109.17,233.249
2013-09-01,103.38,233.642
2013-10-01,97.54,233.799
2013-11-01,93.94,234.21
2013-12-01,99.64,234.847
2014-01-01,98.62,235.436
2014-02-01,103.6,235.621
2014-03-01,101.67,235.897
2014-04-01,99.87,236.495
2014-05-01,102.78,236.803
2014-06-01,105.22,237.016
2014-07-01,97.54,237.259
2014-08-01,97.27,237.163
2014-09-01,90.62,237.51
2014-10-01,80.21,237.651
2014-11-01,66.07,237.261
2014-12-01,53.82,236.464
2015-01-01,48.36,234.954
2015-02-01,50.24,235.415
2015-03-01,47.82,235.859
2015-04-01,59.62,236.197
2015-05-01,59.95,236.876
2015-06-01,58.94,237.423
2015-07-01,46.69,237.734
2015-08-01,45.26,237.703
2015-09-01,44.78,237.489
2015-10-01,43.13,237.949
2015-11-01,41.55,238.302
2015-12-01,37.04,238.041
2016-01-01,33.62,238.107
