"DATE","TMAX","TMIN","Time"
20101107,147,85,2010-11-07
20101108,118,30,2010-11-08
20101109,105,-13,2010-11-09
20101110,121,-3,2010-11-10
20101111,121,49,2010-11-11
20101112,127,9,2010-11-12
20101113,99,42,2010-11-13
20101114,78,-14,2010-11-14
20101115,64,-35,2010-11-15
20101116,126,-24,2010-11-16
20101117,109,-10,2010-11-17
20101118,99,12,2010-11-18
20101119,138,9,2010-11-19
20101120,136,26,2010-11-20
20101121,114,32,2010-11-21
20101122,107,-12,2010-11-22
20101123,85,-15,2010-11-23
20101124,79,-9,2010-11-24
20101125,71,-48,2010-11-25
20101126,42,-31,2010-11-26
20101127,80,0,2010-11-27
20101128,67,-34,2010-11-28
20101129,43,-16,2010-11-29
20101130,32,-33,2010-11-30
20101201,22,11,2010-12-01
20101202,81,-1,2010-12-02
20101203,60,-50,2010-12-03
20101204,77,-34,2010-12-04
20101205,134,-21,2010-12-05
20101206,56,-4,2010-12-06
20101207,68,-45,2010-12-07
20101208,85,-7,2010-12-08
20101209,59,-16,2010-12-09
20101210,87,-10,2010-12-10
20101211,25,-50,2010-12-11
20101212,27,-41,2010-12-12
20101213,14,-54,2010-12-13
20101214,-24,-88,2010-12-14
20101215,-35,-110,2010-12-15
20101216,20,-83,2010-12-16
20101217,68,-68,2010-12-17
20101218,64,-49,2010-12-18
20101219,118,-33,2010-12-19
20101220,120,-39,2010-12-20
20101221,74,-21,2010-12-21
20101222,75,-28,2010-12-22
20101223,33,-72,2010-12-23
20101224,-33,-113,2010-12-24
20101225,-21,-84,2010-12-25
20101226,19,-92,2010-12-26
20101227,69,-78,2010-12-27
20101228,25,-39,2010-12-28
20101229,16,-52,2010-12-29
20101230,-39,-77,2010-12-30
20101231,-29,-89,2010-12-31
20110101,1,-69,2011-01-01
20110102,-11,-68,2011-01-02
20110103,1,-71,2011-01-03
20110104,29,-89,2011-01-04
20110105,-3,-71,2011-01-05
20110106,0,-67,2011-01-06
20110107,10,-92,2011-01-07
20110108,0,-58,2011-01-08
20110109,-19,-81,2011-01-09
20110110,-3,-103,2011-01-10
20110111,-4,-69,2011-01-11
20110112,13,-103,2011-01-12
20110113,37,-90,2011-01-13
20110114,4,-48,2011-01-14
20110115,-27,-105,2011-01-15
20110116,-16,-116,2011-01-16
20110117,-9,-105,2011-01-17
20110118,-12,-104,2011-01-18
20110119,8,-98,2011-01-19
20110120,-1,-104,2011-01-20
20110121,18,-102,2011-01-21
20110122,9,-99,2011-01-22
20110123,-8,-78,2011-01-23
20110124,3,-102,2011-01-24
20110125,-3,-85,2011-01-25
20110126,10,-114,2011-01-26
20110127,-19,-93,2011-01-27
20110128,0,-83,2011-01-28
20110129,-8,-111,2011-01-29
20110130,38,-103,2011-01-30
20110131,85,-94,2011-01-31
20110201,93,-66,2011-02-01
20110202,68,-66,2011-02-02
20110203,69,-29,2011-02-03
20110204,79,-53,2011-02-04
20110205,26,-64,2011-02-05
20110206,110,-44,2011-02-06
20110207,47,-17,2011-02-07
20110208,82,-58,2011-02-08
20110209,30,-63,2011-02-09
20110210,-5,-47,2011-02-10
20110211,7,-83,2011-02-11
20110212,-26,-94,2011-02-12
20110213,-22,-66,2011-02-13
20110214,8,-98,2011-02-14
20110215,27,-83,2011-02-15
20110216,30,-70,2011-02-16
20110217,82,-46,2011-02-17
20110218,77,-65,2011-02-18
20110219,113,-37,2011-02-19
20110220,88,-36,2011-02-20
20110221,82,-22,2011-02-21
20110222,84,-20,2011-02-22
20110223,87,-9,2011-02-23
20110224,118,11,2011-02-24
20110225,67,-41,2011-02-25
20110226,37,-25,2011-02-26
20110227,18,-9,2011-02-27
20110228,59,-27,2011-02-28
20110301,75,-17,2011-03-01
20110302,72,-38,2011-03-02
20110303,98,-7,2011-03-03
20110304,124,-33,2011-03-04
20110305,132,23,2011-03-05
20110306,113,58,2011-03-06
20110307,110,22,2011-03-07
20110308,111,31,2011-03-08
20110309,126,-13,2011-03-09
20110310,166,-5,2011-03-10
20110311,138,19,2011-03-11
20110312,173,35,2011-03-12
20110313,189,50,2011-03-13
20110314,105,50,2011-03-14
20110315,103,11,2011-03-15
20110316,114,-5,2011-03-16
20110317,173,-1,2011-03-17
20110318,151,53,2011-03-18
20110319,142,21,2011-03-19
20110320,120,47,2011-03-20
20110321,93,18,2011-03-21
20110322,112,-18,2011-03-22
20110323,126,5,2011-03-23
20110324,124,33,2011-03-24
20110325,151,-3,2011-03-25
20110326,151,23,2011-03-26
20110327,188,35,2011-03-27
20110328,150,46,2011-03-28
20110329,212,17,2011-03-29
20110330,226,48,2011-03-30
20110331,219,70,2011-03-31
20110401,171,41,2011-04-01
20110402,138,34,2011-04-02
20110403,189,18,2011-04-03
20110404,205,35,2011-04-04
20110405,181,67,2011-04-05
20110406,174,108,2011-04-06
20110407,198,91,2011-04-07
20110408,196,37,2011-04-08
20110409,258,84,2011-04-09
20110410,225,114,2011-04-10
20110411,210,74,2011-04-11
20110412,251,82,2011-04-12
20110413,239,103,2011-04-13
20110414,303,112,2011-04-14
20110415,246,162,2011-04-15
20110416,231,91,2011-04-16
20110417,206,156,2011-04-17
20110418,208,116,2011-04-18
20110419,219,75,2011-04-19
20110420,232,100,2011-04-20
20110421,206,109,2011-04-21
20110422,176,70,2011-04-22
20110423,186,87,2011-04-23
20110424,216,74,2011-04-24
20110425,182,111,2011-04-25
20110426,212,98,2011-04-26
20110427,210,70,2011-04-27
20110428,222,118,2011-04-28
20110429,204,130,2011-04-29
20110430,210,129,2011-04-30
20110501,273,151,2011-05-01
20110502,270,104,2011-05-02
20110503,250,145,2011-05-03
20110504,210,147,2011-05-04
20110505,240,130,2011-05-05
20110506,264,97,2011-05-06
20110507,273,143,2011-05-07
20110508,226,124,2011-05-08
20110509,256,119,2011-05-09
20110510,254,144,2011-05-10
20110511,275,130,2011-05-11
20110512,242,160,2011-05-12
20110513,269,177,2011-05-13
20110514,299,168,2011-05-14
20110515,274,160,2011-05-15
20110516,287,111,2011-05-16
20110517,266,162,2011-05-17
20110518,284,181,2011-05-18
20110519,251,167,2011-05-19
20110520,208,168,2011-05-20
20110521,261,115,2011-05-21
20110522,302,126,2011-05-22
20110523,281,140,2011-05-23
20110524,271,169,2011-05-24
20110525,280,176,2011-05-25
20110526,280,176,2011-05-26
20110527,286,146,2011-05-27
20110528,320,192,2011-05-28
20110529,288,218,2011-05-29
20110530,303,201,2011-05-30
20110531,293,224,2011-05-31
20110601,322,215,2011-06-01
20110602,353,196,2011-06-02
20110603,324,235,2011-06-03
20110604,308,203,2011-06-04
20110605,329,176,2011-06-05
20110606,299,228,2011-06-06
20110607,353,199,2011-06-07
20110608,330,180,2011-06-08
20110609,325,203,2011-06-09
20110610,339,225,2011-06-10
20110611,292,176,2011-06-11
20110612,347,171,2011-06-12
20110613,348,200,2011-06-13
20110614,339,232,2011-06-14
20110615,313,220,2011-06-15
20110616,243,195,2011-06-16
20110617,303,209,2011-06-17
20110618,347,209,2011-06-18
20110619,331,207,2011-06-19
20110620,355,219,2011-06-20
20110621,355,252,2011-06-21
20110622,323,267,2011-06-22
20110623,280,200,2011-06-23
20110624,272,177,2011-06-24
20110625,306,193,2011-06-25
20110626,326,197,2011-06-26
20110627,312,199,2011-06-27
20110628,331,222,2011-06-28
20110629,307,234,2011-06-29
20110630,312,233,2011-06-30
20110701,292,225,2011-07-01
20110702,279,242,2011-07-02
20110703,350,233,2011-07-03
20110704,348,235,2011-07-04
20110705,324,257,2011-07-05
