"V1","V2"
15358,428.541666666667
15359,39.4166666666667
15360,15.625
15361,56.5416666666667
15362,193.791666666667
15363,19.4583333333333
15364,67.4583333333333
15365,107.125
15366,72
15367,90.75
15368,43.2916666666667
15369,119.625
15370,71.5
15371,18.9166666666667
15372,29.875
15373,68.9583333333333
15374,39.5833333333333
15375,133.541666666667
15376,76
15377,11.7083333333333
15378,15.125
15379,47.0416666666667
15380,28.5416666666667
15381,92
15382,106.333333333333
15383,212.125
15384,100.458333333333
15385,108.875
15386,13.7083333333333
15387,14.0416666666667
15388,36.375
15389,68.2083333333333
15390,146.25
15391,119.333333333333
15392,162.583333333333
15393,26.2916666666667
15394,92.9166666666667
15395,24.7916666666667
15396,62.125
15397,195.291666666667
15398,204.75
15399,229.277777777778
15400,250.958333333333
15401,121.375
15402,93.0909090909091
15403,131.75
15404,165.416666666667
15405,22.0416666666667
15406,18.4782608695652
15407,17.5833333333333
15408,93.0833333333333
15409,35.7083333333333
15410,23.75
15411,73.375
15412,112.458333333333
15413,32.6086956521739
15414,101.125
15415,273.916666666667
15416,195.666666666667
15417,42.25
15418,101.791666666667
15419,135.541666666667
15420,284.291666666667
15421,157.333333333333
15422,30.9583333333333
15423,19.4166666666667
15424,44.0416666666667
15425,160.375
15426,110.125
15427,46.25
15428,46.4166666666667
15429,16.8333333333333
15430,26.5
15431,56.5833333333333
15432,41.5416666666667
15433,21.5833333333333
15434,16.6666666666667
15435,16.2083333333333
15436,29.75
15437,79.9166666666667
15438,50
15439,123.833333333333
15440,61.875
15441,19.5833333333333
15442,32.5
15443,54.25
15444,60.0833333333333
15445,73.5
15446,33.0416666666667
15447,122.375
15448,155.5
15449,115.625
15450,144.458333333333
15451,167.875
15452,170.125
15453,249.416666666667
15454,91.875
15455,20.875
15456,77.5416666666667
15457,74.4782608695652
15458,116.958333333333
15459,176.125
15460,180.375
15461,176.083333333333
15462,100.625
15463,70.0416666666667
15464,116.434782608696
15465,96.9583333333333
15466,105.708333333333
15467,87.7916666666667
15468,83.7916666666667
15469,113.583333333333
15470,181.375
15471,153.083333333333
15472,104.541666666667
15473,135.291666666667
15474,44.1666666666667
15475,33.75
15476,28.2916666666667
15477,55.9583333333333
15478,96.8333333333333
15479,156.157894736842
15481,147.076923076923
15482,87.75
15483,29.5833333333333
15484,36
15485,55.0833333333333
15486,78.6666666666667
15487,117.125
15488,126.954545454545
15489,67.1666666666667
15490,15.875
15491,64.9583333333333
15492,80.4583333333333
15493,127.083333333333
15494,164.5
15495,113.083333333333
15496,64.9166666666667
15497,142.666666666667
15498,63.25
15499,75.75
15500,110.875
15501,12.25
15502,29.8333333333333
15503,20.2916666666667
15504,70.125
15505,9.79166666666667
15506,11.0555555555556
15507,25.0833333333333
