STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100211,-10, , ,s,9999,-45, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100212,7, , ,s,9999,-78, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100213,35, , ,s,9999,-95, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100214,-5, , ,s,9999,-55, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100215,19, , ,s,9999,-92, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100216,23, , ,s,9999,-94, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100217,16, , ,s,9999,-53, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100218,51, , ,s,9999,-85, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100219,107, , ,s,9999,-68, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100220,96, , ,s,9999,-39, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100221,143, , ,s,9999,-33, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100222,76, , ,s,9999,-27, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100223,81, , ,s,9999,-44, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100224,113, , ,s,9999,2, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100225,73, , ,s,9999,34, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100226,46, , ,s,9999,-2, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100227,29, , ,s,9999,-27, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100228,52, , ,s,9999,-24, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100301,-2, , ,s,9999,-43, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100302,91, , ,s,9999,-48, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100303,60, , ,s,9999,-19, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100304,71, , ,s,9999,3, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100305,66, , ,s,9999,-22, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100306,16, , ,s,9999,-46, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100307,5, , ,s,9999,-50, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100308,-4, , ,s,9999,-46, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100309,13, , ,s,9999,-63, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100310,88, , ,s,9999,-67, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100311,95, , ,s,9999,-22, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100312,100, , ,s,9999,40, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100313,85, , ,s,9999,-8, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100314,39, , ,s,9999,-3, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100315,55, , ,s,9999,-8, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100316,79, , ,s,9999,-33, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100317,74, , ,s,9999,4, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100318,73, , ,s,9999,-14, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100319,84, , ,s,9999,33, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100320,100, , ,s,9999,49, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100321,143, , ,s,9999,24, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100322,138, , ,s,9999,53, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100323,131, , ,s,9999,16, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100324,117, , ,s,9999,56, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100325,89, , ,s,9999,6, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100326,151, , ,s,9999,10, , ,s,9999
