"Year","Month","Day","pm2.5","Time"
2010,11,5,105.416666666667,2010-11-05
2010,11,6,280.583333333333,2010-11-06
2010,11,7,50.7083333333333,2010-11-07
2010,11,8,13,2010-11-08
2010,11,9,64.4583333333333,2010-11-09
2010,11,10,133.333333333333,2010-11-10
2010,11,11,67.2083333333333,2010-11-11
2010,11,12,67.4583333333333,2010-11-12
2010,11,13,16,2010-11-13
2010,11,14,21.7083333333333,2010-11-14
2010,11,15,59.4166666666667,2010-11-15
2010,11,16,143.041666666667,2010-11-16
2010,11,17,330.875,2010-11-17
2010,11,18,385.083333333333,2010-11-18
2010,11,19,366.958333333333,2010-11-19
2010,11,20,295.708333333333,2010-11-20
2010,11,21,119.458333333333,2010-11-21
2010,11,22,79.2727272727273,2010-11-22
2010,11,23,232.041666666667,2010-11-23
2010,11,24,61.75,2010-11-24
2010,11,25,71.875,2010-11-25
2010,11,26,112.541666666667,2010-11-26
2010,11,27,27.8333333333333,2010-11-27
2010,11,28,187.916666666667,2010-11-28
2010,11,29,181.791666666667,2010-11-29
2010,11,30,225.166666666667,2010-11-30
2010,12,1,258.083333333333,2010-12-01
2010,12,2,72.875,2010-12-02
2010,12,3,82.1666666666667,2010-12-03
2010,12,4,172.708333333333,2010-12-04
2010,12,5,65.5,2010-12-05
2010,12,6,19.9583333333333,2010-12-06
2010,12,7,58.3333333333333,2010-12-07
2010,12,8,40.375,2010-12-08
2010,12,9,198.708333333333,2010-12-09
2010,12,10,95.5,2010-12-10
2010,12,11,49.5833333333333,2010-12-11
2010,12,12,116.75,2010-12-12
2010,12,13,15.6666666666667,2010-12-13
2010,12,14,17.125,2010-12-14
2010,12,15,22.7916666666667,2010-12-15
2010,12,16,55.6666666666667,2010-12-16
2010,12,17,121.625,2010-12-17
2010,12,18,278.166666666667,2010-12-18
2010,12,19,137.833333333333,2010-12-19
2010,12,20,210.666666666667,2010-12-20
2010,12,21,441.5,2010-12-21
2010,12,22,121.791666666667,2010-12-22
2010,12,23,24.0833333333333,2010-12-23
2010,12,24,47.75,2010-12-24
2010,12,25,56.75,2010-12-25
2010,12,26,47.2083333333333,2010-12-26
2010,12,27,77,2010-12-27
2010,12,28,30.5416666666667,2010-12-28
2010,12,29,34.2916666666667,2010-12-29
2010,12,30,17.7083333333333,2010-12-30
2010,12,31,18.6086956521739,2010-12-31
2011,1,1,36,2011-01-01
2011,1,2,37.875,2011-01-02
2011,1,3,169.291666666667,2011-01-03
2011,1,4,82.7916666666667,2011-01-04
2011,1,5,19.625,2011-01-05
2011,1,6,16.0833333333333,2011-01-06
2011,1,7,50.9166666666667,2011-01-07
2011,1,8,77.0666666666667,2011-01-08
2011,1,10,82.8888888888889,2011-01-10
2011,1,11,24.5,2011-01-11
2011,1,12,66.9166666666667,2011-01-12
2011,1,13,121.5,2011-01-13
2011,1,14,16.9166666666667,2011-01-14
2011,1,15,16.875,2011-01-15
2011,1,16,39.3333333333333,2011-01-16
2011,1,17,33.9166666666667,2011-01-17
2011,1,18,20.625,2011-01-18
2011,1,19,20.5416666666667,2011-01-19
2011,1,20,43.2083333333333,2011-01-20
2011,1,21,74.4583333333333,2011-01-21
2011,1,22,48.7916666666667,2011-01-22
